     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,         0,         0,   0.028,pymatching,b77abbddbca95f7f0a0e1ccdcd3ab26ae2881016b72478022857ed27b7e2b4bc,"{""base"":""NZ"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      1297,         8,         0,   0.039,pymatching,4ff85d80725e84f12ecec11588a0933a200ff60142488dbc8392771c6acddb67,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.005}",
      7168,        60,         0,   0.028,pymatching,98c9fcfe2cb7f72291f177686710eff326329afd345bb9acda87b7baacb8dd05,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      8192,         0,         0,   0.028,pymatching,a355c90287253d9e672f3bd122a95cbcc2613b0c404ca2eba304ea0879b7c6d8,"{""base"":""NZ"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
     32768,         0,         0,   0.037,pymatching,c29e7995fd9895b48d97e2bdd50079a37267c85b68d0348b7df1a55099055084,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      4096,         1,         0,   0.031,pymatching,f993424ca3ecf77b3f47c74f4c9671c933cd24519e4a600b97e93d7d0d6e66d1,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      6144,         0,         0,   0.040,pymatching,287c1a2d74f22cba1eeb649eaa41b87adabc397d1287b19c18891b6d8d430636,"{""base"":""ZXinterleaved"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
     10240,         0,         0,   0.038,pymatching,b3131310ea873fd2065cd1c3177b29e82f41bf63b705c8b139d8733109f49922,"{""base"":""NZ"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
     22528,         2,         0,   0.026,pymatching,61c54bef10b53c20b6e75dc25d73a5d631d50f2b28505a700cda8dc1a24fc0a4,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      4096,         0,         0,   0.034,pymatching,c604ea41e9ede89988e8145327ffe0330ba278964ad560b765d4fc7c14540d47,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      7168,         0,         0,   0.044,pymatching,0165fb1d54745115f89cefdc84dbfb9b0c02e3917f77839d6be21f9d3fa52571,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      1024,        20,         0,   0.043,pymatching,fba5802640c8d70fb74ed87a57431dc9f758002cfa2b867c8e5de13f8748c47c,"{""base"":""ZXinterleaved"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.005}",
     25600,         3,         0,   0.038,pymatching,726bf1b49646a86ec626d59e5b6e10f96600d473c73743f3867253679c9e2aaf,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      7168,         0,         0,   0.030,pymatching,eaf68683e1924d54378739cb414855801b76475baa44b676b708c9748a2e024b,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
       273,        73,         0,   0.022,pymatching,0c9bc003ff90ac265d898e5457626df4bdf0e4b5be96e1b64bf4129ccfdf2783,"{""base"":""ZXinterleaved"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.01}",
      4369,         8,         0,   0.010,pymatching,9a4fe07b16566c4812d5e32368a81da809cca719574a517d1996302cd65ded67,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      1024,         0,         0,   0.042,pymatching,8ab1beb3558f03f429146137fb4d4fb2d2d046864c60cc88e5ea617970393234,"{""base"":""NZ"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.005}",
     11264,         0,         0,   0.041,pymatching,3910ea1323d6e3b7af91889031a3bfb98c34559595b12f9756a89fac0a335d5a,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      1024,       215,         0,   0.052,pymatching,36711259739ffb97937caabebc536bb1cd1be207d146fee56f1563765c70afdc,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.01}",
     36864,         0,         0,   0.037,pymatching,2a57e1b73a0da766721b846dd6592db77cb6ade765162f99f844af4ae13e676b,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
     11264,         0,         0,   0.039,pymatching,5be7004a166950802e87ce9141d0577deb7cedb929b2e85ee7284edd83c86da0,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
